ID1,ID2,species,data,otherfeature,state
ENOG4102NDK,ENOG410DVJQ,Ce,0.2488468825,-0.05469637506331412,
ENOG4102NDK,ENOG410KDIF,Ce,-0.018160081097099996,0.4063739436813286,
ENOG4102NDK,ENOG410RV5X,Ce,0.20293975574700002,-0.06012609102201688,
ENOG4102NDK,ENOG410VIAK,Ce,0.339003314128,-0.16169487455940362,
ENOG4102NDK,KOG0020,Ce,0.5374078856360001,-0.4986630817160196,
ENOG4102NDK,KOG0052,Ce,0.23791860206999998,-0.15130040202481457,
ENOG4102NDK,KOG0103,Ce,0.225519615504,-0.3171587238872892,
ENOG4102NDK,KOG0116,Ce,-0.0679732923423,0.06219969141495761,
ENOG4102NDK,KOG0123,Ce,-0.000717215552608,0.2426631970596188,
ENOG4102NDK,KOG0174,Ce,0.018342443741799996,-0.2725888845375102,
ENOG4102NDK,KOG0175,Ce,-0.0372227427414,0.013710799368749695,
ENOG4102NDK,KOG0176,Ce,0.0563712752254,-0.7755118369475354,
ENOG4102NDK,KOG0177,Ce,-0.0387400069037,-0.5573559708416297,
ENOG4102NDK,KOG0178,Ce,-0.0412121346499,0.14821461589300447,
ENOG4102NDK,KOG0179,Ce,-0.02390990286,-0.04274579028666187,
ENOG4102NDK,KOG0180,Ce,0.030481749070200004,-0.419333209461876,
ENOG4102NDK,KOG0181,Ce,-0.043285278624300004,-0.0678975652663447,
ENOG4102NDK,KOG0182,Ce,0.0722874193028,-0.044118469808753925,
ENOG4102NDK,KOG0183,Ce,0.215942829126,-0.14960425010782927,
ENOG4102NDK,KOG0184,Ce,0.0134991990313,-0.21090739337597778,
ENOG4102NDK,KOG0185,Ce,-0.030054745915599996,-0.17756146830486835,
ENOG4102NDK,KOG0213,Ce,-0.18694203413600002,0.1951949125365409,
ENOG4102NDK,KOG0260,Ce,0.334221564842,0.03076707152302325,
ENOG4102NDK,KOG0262,Ce,0.325876057891,0.12977060877084265,
ENOG4102NDK,KOG0264,Ce,0.24881449931,-0.43844520232452894,
ENOG4102NDK,KOG0358,Ce,0.306368613976,0.2771189511661223,
ENOG4102NDK,KOG0359,Ce,0.367656559891,0.16490640729779824,
ENOG4102NDK,KOG0361,Ce,0.27379293347399997,-0.14270828796115842,
ENOG4102NDK,KOG0363,Ce,0.326104561732,0.056780748354226,
ENOG4102NDK,KOG0364,Ce,0.308642193661,0.07288816920115769,
ENOG4102NDK,KOG0469,Ce,0.152012561776,-0.11528652089261626,
ENOG4102NDK,KOG0543,Ce,-0.143449867506,-0.013312203993654183,
ENOG4102NDK,KOG0651,Ce,0.50402493416,0.05694108104849182,
ENOG4102NDK,KOG0652,Ce,0.410988377701,-0.1575405878110908,
ENOG4102NDK,KOG0657,Ce,-0.0840286722996,0.017142761469435962,
ENOG4102NDK,KOG0668,Ce,0.257342739957,0.4301642172546685,
ENOG4102NDK,KOG0674,Ce,0.42612533807499997,0.11388320606115608,
ENOG4102NDK,KOG0687,Ce,0.220585678277,-0.42696276186927007,
ENOG4102NDK,KOG0727,Ce,0.39939748060900004,-0.16757329916301344,
ENOG4102NDK,KOG0841,Ce,0.458225288327,-0.2938528868758405,
ENOG4102NDK,KOG0952,Ce,0.286354270848,-0.24549595362660545,
ENOG4102NDK,KOG0977,Ce,0.06297133231959999,0.22596273361948038,
ENOG4102NDK,KOG0985,Ce,0.33645405202699996,-0.38471695863956107,
ENOG4102NDK,KOG1036,Ce,-0.10794689842599998,0.33070902398787383,
ENOG4102NDK,KOG1350,Ce,0.485352067906,0.22975941404972638,
ENOG4102NDK,KOG1376,Ce,0.696019349413,0.7884098658628634,
ENOG4102NDK,KOG1463,Ce,0.22321226557799997,-0.5818156612646298,
ENOG4102NDK,KOG1498,Ce,0.126189420092,0.18157880249757352,
ENOG4102NDK,KOG1531,Ce,0.414967293179,-0.24377389065895463,
ENOG4102NDK,KOG1554,Ce,0.0944160031484,-0.19365268730717713,
ENOG4102NDK,KOG1596,Ce,0.34580253088299995,0.5866367814710561,
ENOG4102NDK,KOG1655,Ce,-0.11142072303400001,0.46040877536090424,
ENOG4102NDK,KOG1656,Ce,-0.25733633989599997,-0.3532048746847834,
ENOG4102NDK,KOG1662,Ce,0.344907102359,-0.3021395417415243,
ENOG4102NDK,KOG1666,Ce,0.0275152336385,-0.10814972483545289,
ENOG4102NDK,KOG1694,Ce,0.548272114821,0.4411519746884043,
ENOG4102NDK,KOG1748,Ce,-0.00379631304489,-0.2848634002061383,
ENOG4102NDK,KOG1758,Ce,0.332640997468,-0.42129290808161535,
ENOG4102NDK,KOG1760,Ce,-0.062194389891,-0.24949313140840812,
ENOG4102NDK,KOG1769,Ce,-0.028986419706200004,-0.2889392788875365,
ENOG4102NDK,KOG1784,Ce,0.0909448970321,0.11590381573420805,
ENOG4102NDK,KOG1898,Ce,0.118994135392,0.24113676148047933,
ENOG4102NDK,KOG2062,Ce,0.313849123139,-0.038792211213313006,
ENOG4102NDK,KOG2260,Ce,0.0216644712173,-0.29509924692566714,
ENOG4102NDK,KOG2309,Ce,0.42248637094,0.08135247445124826,
ENOG4102NDK,KOG2314,Ce,0.258665822447,-0.19177684685623728,
ENOG4102NDK,KOG2581,Ce,0.41521332168999997,0.12059550054298548,
ENOG4102NDK,KOG2988,Ce,0.450279485573,-0.13586902259948286,
ENOG4102NDK,KOG3048,Ce,-0.0272488160809,0.21590300917396407,
ENOG4102NDK,KOG3070,Ce,0.16567465114399998,0.36995334386733864,
ENOG4102NDK,KOG3092,Ce,0.266703972511,0.23880931627704155,
ENOG4102NDK,KOG3151,Ce,0.098054091557,0.13967790536265182,
ENOG4102NDK,KOG3162,Ce,0.334252895085,0.291054629361571,
ENOG4102NDK,KOG3168,Ce,0.00766609468938,-0.39950802783006395,
ENOG4102NDK,KOG3174,Ce,0.0335485701652,-0.08304820403589733,
ENOG4102NDK,KOG3196,Ce,0.159356259225,0.014029195902957453,
ENOG4102NDK,KOG3265,Ce,0.339020919477,0.5360074245406121,
ENOG4102NDK,KOG3291,Ce,0.610412928887,0.11910391690330438,
ENOG4102NDK,KOG3366,Ce,0.42466073158900003,-0.3535925834991417,
ENOG4102NDK,KOG3400,Ce,-0.034889862091699995,0.23300346727607044,
ENOG4102NDK,KOG3428,Ce,-0.00846891914257,-0.06642130932529657,
ENOG4102NDK,KOG3438,Ce,0.391894768296,-0.0234993411798501,
ENOG4102NDK,KOG3458,Ce,0.178198226633,0.17187391109055636,
ENOG4102NDK,KOG3460,Ce,0.0399430797893,0.16654743542799125,
ENOG4102NDK,KOG3677,Ce,0.274121799648,-0.06497527971213062,
