ID1,ID2,species,data,state
ENOG4102NDK,ENOG410CH8Q,Hs,0.408601630362,0
ENOG4102NDK,ENOG410CI6E,Hs,-0.141293959499,0
ENOG4102NDK,ENOG410CJBM,Hs,0.308570227104,1
ENOG4102NDK,ENOG410DQ8H,Hs,0.369413327501,1
ENOG4102NDK,ENOG410DVJQ,Hs,0.264903438841,0
ENOG4102NDK,ENOG410IF68,Hs,-0.101453252831,0
ENOG4102NDK,ENOG410IF81,Hs,-0.1062868891,0
ENOG4102NDK,ENOG410IFFN,Hs,0.102271049861,0
ENOG4102NDK,ENOG410IGPC,Hs,0.725311196306,1
ENOG4102NDK,ENOG410IHXJ,Hs,0.534827918743,0
ENOG4102NDK,ENOG410IHZM,Hs,0.454418296369,0
ENOG4102NDK,ENOG410IJ10,Hs,-0.0015845520625,0
ENOG4102NDK,ENOG410IJNC,Hs,0.144998471372,0
ENOG4102NDK,ENOG410IN2U,Hs,0.158984025806,0
ENOG4102NDK,ENOG410IP4N,Hs,0.382650978541,0
ENOG4102NDK,ENOG410IREB,Hs,0.545062317371,0
ENOG4102NDK,ENOG410IRS7,Hs,0.440466254529,0
ENOG4102NDK,ENOG410IT51,Hs,-0.0455736055403,0
ENOG4102NDK,ENOG410IUMQ,Hs,0.472486372753,0
ENOG4102NDK,ENOG410IW5Z,Hs,-0.271291312491,1
ENOG4102NDK,ENOG410IXEK,Hs,-0.105897457177,0
ENOG4102NDK,ENOG410IZ0U,Hs,0.137289395222,0
ENOG4102NDK,ENOG410IZRM,Hs,-0.0722314373502,0
ENOG4102NDK,ENOG410J0KM,Hs,-0.166120451546,0
ENOG4102NDK,ENOG410KCT5,Hs,0.538447433091,0
ENOG4102NDK,ENOG410KCXR,Hs,0.31845790449,0
ENOG4102NDK,ENOG410KD8M,Hs,0.498694896081,1
ENOG4102NDK,ENOG410KDIF,Hs,-0.199424682208,0
ENOG4102NDK,ENOG410KDN3,Hs,-0.204079460493,0
ENOG4102NDK,ENOG410RKBN,Hs,0.551408003302,0
ENOG4102NDK,ENOG410RKCN,Hs,-0.13522228194,0
ENOG4102NDK,ENOG410RM4D,Hs,0.183019830484,0
ENOG4102NDK,ENOG410RN6C,Hs,-0.0287033952766,0
ENOG4102NDK,ENOG410RP0T,Hs,0.111142760088,0
ENOG4102NDK,ENOG410RP8H,Hs,0.537498409017,0
ENOG4102NDK,ENOG410RQGR,Hs,0.297235601674,0
ENOG4102NDK,ENOG410RQSY,Hs,-0.207796730756,0
ENOG4102NDK,ENOG410RR5C,Hs,0.122607536009,0
